Account Type,Account Address,Original Vesting,Delegated Free,Delegated Vesting,End Time,Start Time,Periods
Periodic,quick1x3rd45s3789rtpz2fgr5vlerl30ah2tpz3mpyz,1838092098uqck,,,1718496000,1671195600,"{length: 7729200, amount: 306348681uqck}; {length: 2678400, amount: 102116227uqck}; {length: 2592000, amount: 102116227uqck}; {length: 2678400, amount: 102116227uqck}; {length: 2592000, amount: 102116227uqck}; {length: 2678400, amount: 102116227uqck}; {length: 2678400, amount: 102116227uqck}; {length: 2592000, amount: 102116227uqck}; {length: 2678400, amount: 102116227uqck}; {length: 2592000, amount: 102116227uqck}; {length: 2678400, amount: 102116227uqck}; {length: 2678400, amount: 102116227uqck}; {length: 2505600, amount: 102116227uqck}; {length: 2678400, amount: 102116227uqck}; {length: 2592000, amount: 102116227uqck}; {length: 2678400, amount: 102116239uqck}"
Periodic,quick1x303gsncrf9jhhl7dcq7adshqjrz5jlrygdwtr,2308658809uqck,,,1718496000,1671195600,"{length: 7729200, amount: 384776479uqck}; {length: 2678400, amount: 128258822uqck}; {length: 2592000, amount: 128258822uqck}; {length: 2678400, amount: 128258822uqck}; {length: 2592000, amount: 128258822uqck}; {length: 2678400, amount: 128258822uqck}; {length: 2678400, amount: 128258822uqck}; {length: 2592000, amount: 128258822uqck}; {length: 2678400, amount: 128258822uqck}; {length: 2592000, amount: 128258822uqck}; {length: 2678400, amount: 128258822uqck}; {length: 2678400, amount: 128258822uqck}; {length: 2505600, amount: 128258822uqck}; {length: 2678400, amount: 128258822uqck}; {length: 2592000, amount: 128258822uqck}; {length: 2678400, amount: 128258822uqck}"
Periodic,quick1xjgj22mj9kuenqml5rs0d7l9jekhkhzqwxgned,15454978454uqck,478851288uqck,12879148712uqck,1718496000,1671195600,"{length: 7729200, amount: 2575829742uqck}; {length: 2678400, amount: 858609914uqck}; {length: 2592000, amount: 858609914uqck}; {length: 2678400, amount: 858609914uqck}; {length: 2592000, amount: 858609914uqck}; {length: 2678400, amount: 858609914uqck}; {length: 2678400, amount: 858609914uqck}; {length: 2592000, amount: 858609914uqck}; {length: 2678400, amount: 858609914uqck}; {length: 2592000, amount: 858609914uqck}; {length: 2678400, amount: 858609914uqck}; {length: 2678400, amount: 858609914uqck}; {length: 2505600, amount: 858609914uqck}; {length: 2678400, amount: 858609914uqck}; {length: 2592000, amount: 858609914uqck}; {length: 2678400, amount: 858609916uqck}"
Periodic,quick1xnsg4h0tjyjkwp2t06neucaq9lzxklwjj86pkt,1406703136uqck,,,1718496000,1671195600,"{length: 7729200, amount: 234450522uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2592000, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2592000, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2592000, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2592000, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2505600, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2592000, amount: 78150174uqck}; {length: 2678400, amount: 78150178uqck}"
Periodic,quick1xn5s5pf5n7h0reufcxmd2c9ke9dp452ltnx46k,1941250328uqck,406650185uqck,1941250328uqck,1718496000,1671195600,"{length: 7729200, amount: 323541720uqck}; {length: 2678400, amount: 107847240uqck}; {length: 2592000, amount: 107847240uqck}; {length: 2678400, amount: 107847240uqck}; {length: 2592000, amount: 107847240uqck}; {length: 2678400, amount: 107847240uqck}; {length: 2678400, amount: 107847240uqck}; {length: 2592000, amount: 107847240uqck}; {length: 2678400, amount: 107847240uqck}; {length: 2592000, amount: 107847240uqck}; {length: 2678400, amount: 107847240uqck}; {length: 2678400, amount: 107847240uqck}; {length: 2505600, amount: 107847240uqck}; {length: 2678400, amount: 107847240uqck}; {length: 2592000, amount: 107847240uqck}; {length: 2678400, amount: 107847248uqck}"
Periodic,quick1x527nmgnmfqxpf2nw0mcw7lz5wuf8sz3rejyp8,1706799805uqck,,1137823622uqck,1718496000,1671195600,"{length: 7729200, amount: 284466633uqck}; {length: 2678400, amount: 94822211uqck}; {length: 2592000, amount: 94822211uqck}; {length: 2678400, amount: 94822211uqck}; {length: 2592000, amount: 94822211uqck}; {length: 2678400, amount: 94822211uqck}; {length: 2678400, amount: 94822211uqck}; {length: 2592000, amount: 94822211uqck}; {length: 2678400, amount: 94822211uqck}; {length: 2592000, amount: 94822211uqck}; {length: 2678400, amount: 94822211uqck}; {length: 2678400, amount: 94822211uqck}; {length: 2505600, amount: 94822211uqck}; {length: 2678400, amount: 94822211uqck}; {length: 2592000, amount: 94822211uqck}; {length: 2678400, amount: 94822218uqck}"
Periodic,quick1x4zu0duuh8wwjv5355dsrgz420p6nl6f5zvara,1097228446uqck,,,1718496000,1671195600,"{length: 7729200, amount: 182871405uqck}; {length: 2678400, amount: 60957136uqck}; {length: 2592000, amount: 60957136uqck}; {length: 2678400, amount: 60957136uqck}; {length: 2592000, amount: 60957136uqck}; {length: 2678400, amount: 60957136uqck}; {length: 2678400, amount: 60957136uqck}; {length: 2592000, amount: 60957136uqck}; {length: 2678400, amount: 60957136uqck}; {length: 2592000, amount: 60957136uqck}; {length: 2678400, amount: 60957136uqck}; {length: 2678400, amount: 60957136uqck}; {length: 2505600, amount: 60957136uqck}; {length: 2678400, amount: 60957136uqck}; {length: 2592000, amount: 60957136uqck}; {length: 2678400, amount: 60957137uqck}"
Periodic,quick1x4v4wvxe9uyxp88a50p6w95jxecl5fm30xnvuc,1584885533uqck,,,1718496000,1671195600,"{length: 7729200, amount: 264147588uqck}; {length: 2678400, amount: 88049196uqck}; {length: 2592000, amount: 88049196uqck}; {length: 2678400, amount: 88049196uqck}; {length: 2592000, amount: 88049196uqck}; {length: 2678400, amount: 88049196uqck}; {length: 2678400, amount: 88049196uqck}; {length: 2592000, amount: 88049196uqck}; {length: 2678400, amount: 88049196uqck}; {length: 2592000, amount: 88049196uqck}; {length: 2678400, amount: 88049196uqck}; {length: 2678400, amount: 88049196uqck}; {length: 2505600, amount: 88049196uqck}; {length: 2678400, amount: 88049196uqck}; {length: 2592000, amount: 88049196uqck}; {length: 2678400, amount: 88049201uqck}"
Periodic,quick1x44tpjgldmpmmheymp2nueewgc47nfudgnur3a,1406703136uqck,116990304uqck,1104866590uqck,1718496000,1671195600,"{length: 7729200, amount: 234450522uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2592000, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2592000, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2592000, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2592000, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2505600, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2592000, amount: 78150174uqck}; {length: 2678400, amount: 78150178uqck}"
Periodic,quick1x4mmk7mx2pfms6h9w79j9xpgrkq7ekg67d5cq7,5373605979uqck,600944uqck,4478004984uqck,1718496000,1671195600,"{length: 7729200, amount: 895600995uqck}; {length: 2678400, amount: 298533665uqck}; {length: 2592000, amount: 298533665uqck}; {length: 2678400, amount: 298533665uqck}; {length: 2592000, amount: 298533665uqck}; {length: 2678400, amount: 298533665uqck}; {length: 2678400, amount: 298533665uqck}; {length: 2592000, amount: 298533665uqck}; {length: 2678400, amount: 298533665uqck}; {length: 2592000, amount: 298533665uqck}; {length: 2678400, amount: 298533665uqck}; {length: 2678400, amount: 298533665uqck}; {length: 2505600, amount: 298533665uqck}; {length: 2678400, amount: 298533665uqck}; {length: 2592000, amount: 298533665uqck}; {length: 2678400, amount: 298533674uqck}"
Periodic,quick1xheppmt689acf7mp6je59tmjqgstjghk79tqqx,1331678969uqck,70749671uqck,1035750312uqck,1718496000,1671195600,"{length: 7729200, amount: 221946492uqck}; {length: 2678400, amount: 73982165uqck}; {length: 2592000, amount: 73982165uqck}; {length: 2678400, amount: 73982165uqck}; {length: 2592000, amount: 73982165uqck}; {length: 2678400, amount: 73982165uqck}; {length: 2678400, amount: 73982165uqck}; {length: 2592000, amount: 73982165uqck}; {length: 2678400, amount: 73982165uqck}; {length: 2592000, amount: 73982165uqck}; {length: 2678400, amount: 73982165uqck}; {length: 2678400, amount: 73982165uqck}; {length: 2505600, amount: 73982165uqck}; {length: 2678400, amount: 73982165uqck}; {length: 2592000, amount: 73982165uqck}; {length: 2678400, amount: 73982167uqck}"
Periodic,quick1xcvrq5fxalld6vvf4t5l38jlvdlj3wh4ej22gk,166666666667uqck,10978333333uqck,166666666667uqck,1765843200,1671195600,"{length: 15678000, amount: 27777777777uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2505600, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2419200, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629649uqck}"
Periodic,quick1xe66cpyffzw09fz4y2nf8jm08g4rv8t4a9jpz8,6996003596uqck,,5206000000uqck,1718496000,1671195600,"{length: 7729200, amount: 1166000598uqck}; {length: 2678400, amount: 388666866uqck}; {length: 2592000, amount: 388666866uqck}; {length: 2678400, amount: 388666866uqck}; {length: 2592000, amount: 388666866uqck}; {length: 2678400, amount: 388666866uqck}; {length: 2678400, amount: 388666866uqck}; {length: 2592000, amount: 388666866uqck}; {length: 2678400, amount: 388666866uqck}; {length: 2592000, amount: 388666866uqck}; {length: 2678400, amount: 388666866uqck}; {length: 2678400, amount: 388666866uqck}; {length: 2505600, amount: 388666866uqck}; {length: 2678400, amount: 388666866uqck}; {length: 2592000, amount: 388666866uqck}; {length: 2678400, amount: 388666874uqck}"
Periodic,quick1xe7f5vlfp0k3c33ng435tr4hxrfzsvnhnrx2ua,14113921464uqck,,10193508234uqck,1718496000,1671195600,"{length: 7729200, amount: 2352320244uqck}; {length: 2678400, amount: 784106748uqck}; {length: 2592000, amount: 784106748uqck}; {length: 2678400, amount: 784106748uqck}; {length: 2592000, amount: 784106748uqck}; {length: 2678400, amount: 784106748uqck}; {length: 2678400, amount: 784106748uqck}; {length: 2592000, amount: 784106748uqck}; {length: 2678400, amount: 784106748uqck}; {length: 2592000, amount: 784106748uqck}; {length: 2678400, amount: 784106748uqck}; {length: 2678400, amount: 784106748uqck}; {length: 2505600, amount: 784106748uqck}; {length: 2678400, amount: 784106748uqck}; {length: 2592000, amount: 784106748uqck}; {length: 2678400, amount: 784106748uqck}"
Periodic,quick1x6qpp5qkcc8wkvunlg2yuuznrjedt0k06spwpk,4942217018uqck,,3836649477uqck,1718496000,1671195600,"{length: 7729200, amount: 823702836uqck}; {length: 2678400, amount: 274567612uqck}; {length: 2592000, amount: 274567612uqck}; {length: 2678400, amount: 274567612uqck}; {length: 2592000, amount: 274567612uqck}; {length: 2678400, amount: 274567612uqck}; {length: 2678400, amount: 274567612uqck}; {length: 2592000, amount: 274567612uqck}; {length: 2678400, amount: 274567612uqck}; {length: 2592000, amount: 274567612uqck}; {length: 2678400, amount: 274567612uqck}; {length: 2678400, amount: 274567612uqck}; {length: 2505600, amount: 274567612uqck}; {length: 2678400, amount: 274567612uqck}; {length: 2592000, amount: 274567612uqck}; {length: 2678400, amount: 274567614uqck}"
Periodic,quick1x6tf65r2mhgf4uv99zn4p28pzw69vf7c7fa94q,24096385542uqck,3764909242uqck,24096385542uqck,1765843200,1671195600,"{length: 15678000, amount: 4016064257uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2505600, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2419200, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344067uqck}"
Periodic,quick1xm8lmcm0jlmp4p5x29hy7lusrcgtd8x2y5045w,14329615945uqck,,9000000000uqck,1718496000,1671195600,"{length: 7729200, amount: 2388269322uqck}; {length: 2678400, amount: 796089774uqck}; {length: 2592000, amount: 796089774uqck}; {length: 2678400, amount: 796089774uqck}; {length: 2592000, amount: 796089774uqck}; {length: 2678400, amount: 796089774uqck}; {length: 2678400, amount: 796089774uqck}; {length: 2592000, amount: 796089774uqck}; {length: 2678400, amount: 796089774uqck}; {length: 2592000, amount: 796089774uqck}; {length: 2678400, amount: 796089774uqck}; {length: 2678400, amount: 796089774uqck}; {length: 2505600, amount: 796089774uqck}; {length: 2678400, amount: 796089774uqck}; {length: 2592000, amount: 796089774uqck}; {length: 2678400, amount: 796089787uqck}"
Periodic,quick1x750njalwh0jkqdmu30ee4ltx479z02g2mfmd7,24096385542uqck,,,1765843200,1671195600,"{length: 15678000, amount: 4016064257uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2505600, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2419200, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344067uqck}"
Periodic,quick1xl8lxkd3sehl726egu5h9daqu8gxqqylchpf3q,24096385542uqck,1679125254uqck,24096385542uqck,1765843200,1671195600,"{length: 15678000, amount: 4016064257uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2505600, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2419200, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344042uqck}; {length: 2678400, amount: 669344042uqck}; {length: 2592000, amount: 669344067uqck}"
Periodic,quick18qcjh72d5fq7u8lq8w7gxenkcm5pytzdce4max,10071994454uqck,,7202000000uqck,1718496000,1671195600,"{length: 7729200, amount: 1678665741uqck}; {length: 2678400, amount: 559555247uqck}; {length: 2592000, amount: 559555247uqck}; {length: 2678400, amount: 559555247uqck}; {length: 2592000, amount: 559555247uqck}; {length: 2678400, amount: 559555247uqck}; {length: 2678400, amount: 559555247uqck}; {length: 2592000, amount: 559555247uqck}; {length: 2678400, amount: 559555247uqck}; {length: 2592000, amount: 559555247uqck}; {length: 2678400, amount: 559555247uqck}; {length: 2678400, amount: 559555247uqck}; {length: 2505600, amount: 559555247uqck}; {length: 2678400, amount: 559555247uqck}; {length: 2592000, amount: 559555247uqck}; {length: 2678400, amount: 559555255uqck}"
Periodic,quick18q68qauzrvz5trllel2j6tjqv55vygtjhh28aq,8008829854uqck,804870uqck,6674024881uqck,1718496000,1671195600,"{length: 7729200, amount: 1334804973uqck}; {length: 2678400, amount: 444934992uqck}; {length: 2592000, amount: 444934992uqck}; {length: 2678400, amount: 444934992uqck}; {length: 2592000, amount: 444934992uqck}; {length: 2678400, amount: 444934992uqck}; {length: 2678400, amount: 444934992uqck}; {length: 2592000, amount: 444934992uqck}; {length: 2678400, amount: 444934992uqck}; {length: 2592000, amount: 444934992uqck}; {length: 2678400, amount: 444934992uqck}; {length: 2678400, amount: 444934992uqck}; {length: 2505600, amount: 444934992uqck}; {length: 2678400, amount: 444934992uqck}; {length: 2592000, amount: 444934992uqck}; {length: 2678400, amount: 444934993uqck}"
Periodic,quick18p35fnqtchztg9a6qrdrq4z433m5emyzvuyyxe,13992007192uqck,,9329127081uqck,1718496000,1671195600,"{length: 7729200, amount: 2332001196uqck}; {length: 2678400, amount: 777333733uqck}; {length: 2592000, amount: 777333733uqck}; {length: 2678400, amount: 777333733uqck}; {length: 2592000, amount: 777333733uqck}; {length: 2678400, amount: 777333733uqck}; {length: 2678400, amount: 777333733uqck}; {length: 2592000, amount: 777333733uqck}; {length: 2678400, amount: 777333733uqck}; {length: 2592000, amount: 777333733uqck}; {length: 2678400, amount: 777333733uqck}; {length: 2678400, amount: 777333733uqck}; {length: 2505600, amount: 777333733uqck}; {length: 2678400, amount: 777333733uqck}; {length: 2592000, amount: 777333733uqck}; {length: 2678400, amount: 777333734uqck}"
Periodic,quick189flfjy2sc4ghk5wvcpvwumka93l98fm9wkkre,5354849938uqck,,4074358346uqck,1718496000,1671195600,"{length: 7729200, amount: 892474989uqck}; {length: 2678400, amount: 297491663uqck}; {length: 2592000, amount: 297491663uqck}; {length: 2678400, amount: 297491663uqck}; {length: 2592000, amount: 297491663uqck}; {length: 2678400, amount: 297491663uqck}; {length: 2678400, amount: 297491663uqck}; {length: 2592000, amount: 297491663uqck}; {length: 2678400, amount: 297491663uqck}; {length: 2592000, amount: 297491663uqck}; {length: 2678400, amount: 297491663uqck}; {length: 2678400, amount: 297491663uqck}; {length: 2505600, amount: 297491663uqck}; {length: 2678400, amount: 297491663uqck}; {length: 2592000, amount: 297491663uqck}; {length: 2678400, amount: 297491667uqck}"
Periodic,quick189naqula4nvft749a8fcde2zumpkgpj2jmh7n0,9621849450uqck,,6948859703uqck,1718496000,1671195600,"{length: 7729200, amount: 1603641573uqck}; {length: 2678400, amount: 534547191uqck}; {length: 2592000, amount: 534547191uqck}; {length: 2678400, amount: 534547191uqck}; {length: 2592000, amount: 534547191uqck}; {length: 2678400, amount: 534547191uqck}; {length: 2678400, amount: 534547191uqck}; {length: 2592000, amount: 534547191uqck}; {length: 2678400, amount: 534547191uqck}; {length: 2592000, amount: 534547191uqck}; {length: 2678400, amount: 534547191uqck}; {length: 2678400, amount: 534547191uqck}; {length: 2505600, amount: 534547191uqck}; {length: 2678400, amount: 534547191uqck}; {length: 2592000, amount: 534547191uqck}; {length: 2678400, amount: 534547203uqck}"
Periodic,quick189e4f6usus5etsu8vj023lhg4nclg06rc68hph,2494553561uqck,,2490000000uqck,1718496000,1671195600,"{length: 7729200, amount: 415758924uqck}; {length: 2678400, amount: 138586309uqck}; {length: 2592000, amount: 138586309uqck}; {length: 2678400, amount: 138586309uqck}; {length: 2592000, amount: 138586309uqck}; {length: 2678400, amount: 138586309uqck}; {length: 2678400, amount: 138586309uqck}; {length: 2592000, amount: 138586309uqck}; {length: 2678400, amount: 138586309uqck}; {length: 2592000, amount: 138586309uqck}; {length: 2678400, amount: 138586309uqck}; {length: 2678400, amount: 138586309uqck}; {length: 2505600, amount: 138586309uqck}; {length: 2678400, amount: 138586309uqck}; {length: 2592000, amount: 138586309uqck}; {length: 2678400, amount: 138586311uqck}"
Periodic,quick1896r2pq7j7qal26t6k9whqehqy3tzsn8qrqtkq,16327134398uqck,,13752297239uqck,1718496000,1671195600,"{length: 7729200, amount: 2721189066uqck}; {length: 2678400, amount: 907063022uqck}; {length: 2592000, amount: 907063022uqck}; {length: 2678400, amount: 907063022uqck}; {length: 2592000, amount: 907063022uqck}; {length: 2678400, amount: 907063022uqck}; {length: 2678400, amount: 907063022uqck}; {length: 2592000, amount: 907063022uqck}; {length: 2678400, amount: 907063022uqck}; {length: 2592000, amount: 907063022uqck}; {length: 2678400, amount: 907063022uqck}; {length: 2678400, amount: 907063022uqck}; {length: 2505600, amount: 907063022uqck}; {length: 2678400, amount: 907063022uqck}; {length: 2592000, amount: 907063022uqck}; {length: 2678400, amount: 907063024uqck}"
Periodic,quick18xs8h62h9r2fgglcxcesu7q24d9576mp6w037q,6302030049uqck,,5000000000uqck,1718496000,1671195600,"{length: 7729200, amount: 1050338340uqck}; {length: 2678400, amount: 350112780uqck}; {length: 2592000, amount: 350112780uqck}; {length: 2678400, amount: 350112780uqck}; {length: 2592000, amount: 350112780uqck}; {length: 2678400, amount: 350112780uqck}; {length: 2678400, amount: 350112780uqck}; {length: 2592000, amount: 350112780uqck}; {length: 2678400, amount: 350112780uqck}; {length: 2592000, amount: 350112780uqck}; {length: 2678400, amount: 350112780uqck}; {length: 2678400, amount: 350112780uqck}; {length: 2505600, amount: 350112780uqck}; {length: 2678400, amount: 350112780uqck}; {length: 2592000, amount: 350112780uqck}; {length: 2678400, amount: 350112789uqck}"
Periodic,quick188udn9jzp3vqa24cg3gfv9q9neccp2kptht6u9,975314174uqck,162238186uqck,812761814uqck,1718496000,1671195600,"{length: 7729200, amount: 162552360uqck}; {length: 2678400, amount: 54184120uqck}; {length: 2592000, amount: 54184120uqck}; {length: 2678400, amount: 54184120uqck}; {length: 2592000, amount: 54184120uqck}; {length: 2678400, amount: 54184120uqck}; {length: 2678400, amount: 54184120uqck}; {length: 2592000, amount: 54184120uqck}; {length: 2678400, amount: 54184120uqck}; {length: 2592000, amount: 54184120uqck}; {length: 2678400, amount: 54184120uqck}; {length: 2678400, amount: 54184120uqck}; {length: 2505600, amount: 54184120uqck}; {length: 2678400, amount: 54184120uqck}; {length: 2592000, amount: 54184120uqck}; {length: 2678400, amount: 54184134uqck}"
Periodic,quick18gdszm0937tu83x30e5hpty87w4nlmt6vuxavy,4041927011uqck,,2500000000uqck,1718496000,1671195600,"{length: 7729200, amount: 673654500uqck}; {length: 2678400, amount: 224551500uqck}; {length: 2592000, amount: 224551500uqck}; {length: 2678400, amount: 224551500uqck}; {length: 2592000, amount: 224551500uqck}; {length: 2678400, amount: 224551500uqck}; {length: 2678400, amount: 224551500uqck}; {length: 2592000, amount: 224551500uqck}; {length: 2678400, amount: 224551500uqck}; {length: 2592000, amount: 224551500uqck}; {length: 2678400, amount: 224551500uqck}; {length: 2678400, amount: 224551500uqck}; {length: 2505600, amount: 224551500uqck}; {length: 2678400, amount: 224551500uqck}; {length: 2592000, amount: 224551500uqck}; {length: 2678400, amount: 224551511uqck}"
Periodic,quick18fj2wjpw49mqhhrqejr5jdsc0kd7rpyhalexar,1547373450uqck,,1040173350uqck,1718496000,1671195600,"{length: 7729200, amount: 257895573uqck}; {length: 2678400, amount: 85965191uqck}; {length: 2592000, amount: 85965191uqck}; {length: 2678400, amount: 85965191uqck}; {length: 2592000, amount: 85965191uqck}; {length: 2678400, amount: 85965191uqck}; {length: 2678400, amount: 85965191uqck}; {length: 2592000, amount: 85965191uqck}; {length: 2678400, amount: 85965191uqck}; {length: 2592000, amount: 85965191uqck}; {length: 2678400, amount: 85965191uqck}; {length: 2678400, amount: 85965191uqck}; {length: 2505600, amount: 85965191uqck}; {length: 2678400, amount: 85965191uqck}; {length: 2592000, amount: 85965191uqck}; {length: 2678400, amount: 85965203uqck}"
Periodic,quick18tyl6ngrmmes07tcxsqu8fy605lyle4tc5uehs,468901045uqck,,,1718496000,1671195600,"{length: 7729200, amount: 78150174uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2505600, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050059uqck}"
Periodic,quick18tuw8lc3n5swzd9vjs24zs49gnkymdjqv6u8c7,2541443666uqck,,1830000000uqck,1718496000,1671195600,"{length: 7729200, amount: 423573942uqck}; {length: 2678400, amount: 141191314uqck}; {length: 2592000, amount: 141191314uqck}; {length: 2678400, amount: 141191314uqck}; {length: 2592000, amount: 141191314uqck}; {length: 2678400, amount: 141191314uqck}; {length: 2678400, amount: 141191314uqck}; {length: 2592000, amount: 141191314uqck}; {length: 2678400, amount: 141191314uqck}; {length: 2592000, amount: 141191314uqck}; {length: 2678400, amount: 141191314uqck}; {length: 2678400, amount: 141191314uqck}; {length: 2505600, amount: 141191314uqck}; {length: 2678400, amount: 141191314uqck}; {length: 2592000, amount: 141191314uqck}; {length: 2678400, amount: 141191328uqck}"
