Account Type,Account Address,Original Vesting,Delegated Free,Delegated Vesting,End Time,Start Time,Periods
Periodic,quick1qx273qwhkkhjqp62tcqqfdwkncuul43w0ju28v,468901045uqck,,,1718496000,1671195600,"{length: 7729200, amount: 78150174uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2505600, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050059uqck}"
Periodic,quick1qx5hu7c087udxu433uvevf5y6jcvn2shjul0y9,5758104837uqck,,3838730343uqck,1718496000,1671195600,"{length: 7729200, amount: 959684139uqck}; {length: 2678400, amount: 319894713uqck}; {length: 2592000, amount: 319894713uqck}; {length: 2678400, amount: 319894713uqck}; {length: 2592000, amount: 319894713uqck}; {length: 2678400, amount: 319894713uqck}; {length: 2678400, amount: 319894713uqck}; {length: 2592000, amount: 319894713uqck}; {length: 2678400, amount: 319894713uqck}; {length: 2592000, amount: 319894713uqck}; {length: 2678400, amount: 319894713uqck}; {length: 2678400, amount: 319894713uqck}; {length: 2505600, amount: 319894713uqck}; {length: 2678400, amount: 319894713uqck}; {length: 2592000, amount: 319894713uqck}; {length: 2678400, amount: 319894716uqck}"
Periodic,quick1qx65qhn74kes2myamxhaqru0fq2ak49nwq7apr,1622397617uqck,,,1718496000,1671195600,"{length: 7729200, amount: 270399600uqck}; {length: 2678400, amount: 90133201uqck}; {length: 2592000, amount: 90133201uqck}; {length: 2678400, amount: 90133201uqck}; {length: 2592000, amount: 90133201uqck}; {length: 2678400, amount: 90133201uqck}; {length: 2678400, amount: 90133201uqck}; {length: 2592000, amount: 90133201uqck}; {length: 2678400, amount: 90133201uqck}; {length: 2592000, amount: 90133201uqck}; {length: 2678400, amount: 90133201uqck}; {length: 2678400, amount: 90133201uqck}; {length: 2505600, amount: 90133201uqck}; {length: 2678400, amount: 90133201uqck}; {length: 2592000, amount: 90133201uqck}; {length: 2678400, amount: 90133203uqck}"
Periodic,quick1q8teur40emyun60et4wh5z6yj5669stgak9tpu,166666666667uqck,,166666000000uqck,1765843200,1671195600,"{length: 15678000, amount: 27777777777uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2505600, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2419200, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629629uqck}; {length: 2678400, amount: 4629629629uqck}; {length: 2592000, amount: 4629629649uqck}"
Periodic,quick1qfyntnmlvznvrkk9xqppmcxqcluv7wd74nmyus,4801546704uqck,,,1718496000,1671195600,"{length: 7729200, amount: 800257782uqck}; {length: 2678400, amount: 266752594uqck}; {length: 2592000, amount: 266752594uqck}; {length: 2678400, amount: 266752594uqck}; {length: 2592000, amount: 266752594uqck}; {length: 2678400, amount: 266752594uqck}; {length: 2678400, amount: 266752594uqck}; {length: 2592000, amount: 266752594uqck}; {length: 2678400, amount: 266752594uqck}; {length: 2592000, amount: 266752594uqck}; {length: 2678400, amount: 266752594uqck}; {length: 2678400, amount: 266752594uqck}; {length: 2505600, amount: 266752594uqck}; {length: 2678400, amount: 266752594uqck}; {length: 2592000, amount: 266752594uqck}; {length: 2678400, amount: 266752606uqck}"
Periodic,quick1qfckgukvwrqytdqa6s9pd7advz5t5cuppjw0nv,468901045uqck,,,1718496000,1671195600,"{length: 7729200, amount: 78150174uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2505600, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050059uqck}"
Periodic,quick1qtlu67p63krz53krpn5jqs057wmq5lqfmg84q0,3835610551uqck,,2981611467uqck,1718496000,1671195600,"{length: 7729200, amount: 639268425uqck}; {length: 2678400, amount: 213089475uqck}; {length: 2592000, amount: 213089475uqck}; {length: 2678400, amount: 213089475uqck}; {length: 2592000, amount: 213089475uqck}; {length: 2678400, amount: 213089475uqck}; {length: 2678400, amount: 213089475uqck}; {length: 2592000, amount: 213089475uqck}; {length: 2678400, amount: 213089475uqck}; {length: 2592000, amount: 213089475uqck}; {length: 2678400, amount: 213089475uqck}; {length: 2678400, amount: 213089475uqck}; {length: 2505600, amount: 213089475uqck}; {length: 2678400, amount: 213089475uqck}; {length: 2592000, amount: 213089475uqck}; {length: 2678400, amount: 213089476uqck}"
Periodic,quick1qduyceaws9td4jllzng7tm0ujs82s9cghrlkxr,11563099778uqck,,8350100664uqck,1718496000,1671195600,"{length: 7729200, amount: 1927183296uqck}; {length: 2678400, amount: 642394432uqck}; {length: 2592000, amount: 642394432uqck}; {length: 2678400, amount: 642394432uqck}; {length: 2592000, amount: 642394432uqck}; {length: 2678400, amount: 642394432uqck}; {length: 2678400, amount: 642394432uqck}; {length: 2592000, amount: 642394432uqck}; {length: 2678400, amount: 642394432uqck}; {length: 2592000, amount: 642394432uqck}; {length: 2678400, amount: 642394432uqck}; {length: 2678400, amount: 642394432uqck}; {length: 2505600, amount: 642394432uqck}; {length: 2678400, amount: 642394432uqck}; {length: 2592000, amount: 642394432uqck}; {length: 2678400, amount: 642394434uqck}"
Periodic,quick1qsv8h9vl0g8eth98v3pjq9rnzczvr40lfh7nvz,16350579450uqck,1617125uqck,13625482875uqck,1718496000,1671195600,"{length: 7729200, amount: 2725096575uqck}; {length: 2678400, amount: 908365525uqck}; {length: 2592000, amount: 908365525uqck}; {length: 2678400, amount: 908365525uqck}; {length: 2592000, amount: 908365525uqck}; {length: 2678400, amount: 908365525uqck}; {length: 2678400, amount: 908365525uqck}; {length: 2592000, amount: 908365525uqck}; {length: 2678400, amount: 908365525uqck}; {length: 2592000, amount: 908365525uqck}; {length: 2678400, amount: 908365525uqck}; {length: 2678400, amount: 908365525uqck}; {length: 2505600, amount: 908365525uqck}; {length: 2678400, amount: 908365525uqck}; {length: 2592000, amount: 908365525uqck}; {length: 2678400, amount: 908365525uqck}"
Periodic,quick1qsdevpml8nh9ygcu29n3gtxf9g9ex7scyxntnt,1406703136uqck,,938703207uqck,1718496000,1671195600,"{length: 7729200, amount: 234450522uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2592000, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2592000, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2592000, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2592000, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2505600, amount: 78150174uqck}; {length: 2678400, amount: 78150174uqck}; {length: 2592000, amount: 78150174uqck}; {length: 2678400, amount: 78150178uqck}"
